requirement	module	source_pattern	release_destination	match_mode	purpose
required	01_theoretical	Step01_isoform_resolvability_v1.0.3.py	scripts/01_theoretical/Step01_isoform_resolvability_v1.0.3.py	exact	Theoretical peptide space and complementary protease analysis
required	02_observed_mapping	Step01B_extract_and_compare_observed_v1.1.1.py	scripts/02_observed_mapping/Step01B_extract_and_compare_observed_v1.1.1.py	exact	Canonical observed peptide extraction/common-reference remapping
required	01_theoretical	Step01C_accessible_theoretical_ceiling_v1.0.0.py	scripts/01_theoretical/Step01C_accessible_theoretical_ceiling_v1.0.0.py	exact	Accessibility-conditioned theoretical ceiling
required	01_theoretical	Step01C2_consensus_accessibility_v1.0.0.py	scripts/01_theoretical/Step01C2_consensus_accessibility_v1.0.0.py	exact	Consensus accessibility across workflows
required	01_theoretical	Step01C3_resolved_vs_unresolved_v1.0.0.py	scripts/01_theoretical/Step01C3_resolved_vs_unresolved_v1.0.0.py	exact	Resolved-vs-unresolved family comparison
required	02_observed_mapping	STEP1_common_FASTA_isoform_mapping_FIXED.py	scripts/02_observed_mapping/STEP1_common_FASTA_isoform_mapping_FIXED.py	exact	Foundational common FASTA mapping
required	02_observed_mapping	STEP1B_mapping_QC_geneaware.py	scripts/02_observed_mapping/STEP1B_mapping_QC_geneaware.py	exact	Gene-aware mapping QC
required	02_observed_mapping	STEP1C_resolve_AP_MM_anomalies.py	scripts/02_observed_mapping/STEP1C_resolve_AP_MM_anomalies.py	exact	AP/MM anomaly resolution
required	02_observed_mapping	STEP1D_FINAL_NORMALIZATION.py	scripts/02_observed_mapping/STEP1D_FINAL_NORMALIZATION.py	exact	Frozen final normalization
required	02_observed_mapping	STEP2A_CELL_LINE_ANALYSIS.py	scripts/02_observed_mapping/STEP2A_CELL_LINE_ANALYSIS.py	exact	Cell-line analysis
required	02_observed_mapping	STEP2B_CROSS_SOFTWARE_CONCORDANCE.py	scripts/02_observed_mapping/STEP2B_CROSS_SOFTWARE_CONCORDANCE.py	exact	Cross-software concordance
required	02_observed_mapping	STEP2C_CONSENSUS_CANDIDATE_RANKING.py	scripts/02_observed_mapping/STEP2C_CONSENSUS_CANDIDATE_RANKING.py	exact	Consensus candidate ranking
required	03_ambiguity_replicates	Step03_ambiguity_decomposition_v1.0.1.py	scripts/03_ambiguity_replicates/Step03_ambiguity_decomposition_v1.0.1.py	exact	Structural ambiguity decomposition
required	03_ambiguity_replicates	Step04_replicate_threshold_robustness_v1.0.0.py	scripts/03_ambiguity_replicates/Step04_replicate_threshold_robustness_v1.0.0.py	exact	Replicate thresholds, leave-one-out, pairwise Jaccard
required	04_quantitative_sepep	STEP4A_QUANTITATIVE_BENCHMARK_V5_FINAL.py	scripts/04_quantitative_sepep/STEP4A_QUANTITATIVE_BENCHMARK_V5_FINAL.py	exact	Canonical quantitative benchmark
required	04_quantitative_sepep	STEP4B_SEPEPQUANT_INSPIRED.py	scripts/04_quantitative_sepep/STEP4B_SEPEPQUANT_INSPIRED.py	exact	SEPEP analysis
required	04_quantitative_sepep	STEP4C_RECIPROCAL_SEPEP_SWITCHLIKE.py	scripts/04_quantitative_sepep/STEP4C_RECIPROCAL_SEPEP_SWITCHLIKE.py	exact	Reciprocal SEPEP event detection
required	04_quantitative_sepep	STEP4D_RECIPROCAL_STRUCTURAL_OVERLAP.py	scripts/04_quantitative_sepep/STEP4D_RECIPROCAL_STRUCTURAL_OVERLAP.py	exact	Structural overlap classification of reciprocal events
required	05_entrapment_fdr	Step02A_REBUILD_ONECLICK_v1.0.5.ps1	scripts/05_entrapment_fdr/Step02A_REBUILD_ONECLICK_v1.0.5.ps1	exact	Entrapment database generation wrapper
required	05_entrapment_fdr	Step02A_build_lookup_v104.py	scripts/05_entrapment_fdr/Step02A_build_lookup_v104.py	exact	Entrapment peptide-space lookup/QC helper
required	05_entrapment_fdr	Step02B_HOMEWORK_CHECK_v1.0.0.py	scripts/05_entrapment_fdr/Step02B_HOMEWORK_CHECK_v1.0.0.py	exact	Entrapment peptide audit
required	05_entrapment_fdr	Step02C_AUDIT_UNMATCHED_v1.0.0.py	scripts/05_entrapment_fdr/Step02C_AUDIT_UNMATCHED_v1.0.0.py	exact	Audit unmatched peptide keys
required	05_entrapment_fdr	Step02D_PROTEIN_ENTRAPMENT_FDR_v1.0.3.py	scripts/05_entrapment_fdr/Step02D_PROTEIN_ENTRAPMENT_FDR_v1.0.3.py	exact	Canonical protein-level entrapment evaluation
required	05_entrapment_fdr	Step02E_SALVAGE_MM_MQ_v1.0.0.py	scripts/05_entrapment_fdr/Step02E_SALVAGE_MM_MQ_v1.0.0.py	exact	MM/MQ entrapment-marker salvage audit
required	05_entrapment_fdr	Step02F_MQ_FINAL_MM_SEQUENCE_SALVAGE_v1.0.0.py	scripts/05_entrapment_fdr/Step02F_MQ_FINAL_MM_SEQUENCE_SALVAGE_v1.0.0.py	exact	MQ direct + MM diagnostic sequence reconstruction
required	05_entrapment_fdr	Step02G_VALIDATE_MM_RECONSTRUCTION_v1.0.0.py	scripts/05_entrapment_fdr/Step02G_VALIDATE_MM_RECONSTRUCTION_v1.0.0.py	exact	Independent validation of MM reconstruction
required	06_native_isoform_audit	AUDIT_NATIVE_SIBLING_ISOFORMS_v1.0.0.py	scripts/06_native_isoform_audit/AUDIT_NATIVE_SIBLING_ISOFORMS_v1.0.0.py	exact	Native suffix-bearing accessions and sibling-family audit
optional	supplementary	ISOFORM_KMIN_INFERENCE_v1.1.0.py	scripts/supplementary/ISOFORM_KMIN_INFERENCE_v1.1.0.py	exact	Supplementary minimum-hitting-set inference
optional	supplementary	PLOT_ISOFORM_KMIN*.R	scripts/supplementary/	glob_unique	Supplementary Kmin figure; filename may vary
optional	supplementary	SUPP_FIG_S5_V07_WITHIN_WORKFLOW_ISOFORM_HEATMAPS.py	scripts/supplementary/SUPP_FIG_S5_V07_WITHIN_WORKFLOW_ISOFORM_HEATMAPS.py	exact	Supplementary within-workflow isoform heatmaps
